path,fname,split_official,label,cls,is_mp3
data/for-2seconds\training\real\file1000.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1000.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10003.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10003.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10006.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10006.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10009.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10009.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10010.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10010.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10013.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10013.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10015.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10015.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10017.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10017.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10021.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10021.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10026.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10026.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10033.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10033.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10041.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10041.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10049.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10049.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10051.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10051.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10053.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10053.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10055.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10055.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10057.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10057.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10059.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10059.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10061.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10061.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10065.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10065.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10069.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10069.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10070.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10070.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10074.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10074.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10075.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10075.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10078.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10078.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10079.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10079.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file1008.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file1008.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
data/for-2seconds\training\real\file10091.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,file10091.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,training,0,real,0
